Symbol,Name,Wtd Alpha,Last,Change,%Chg,52W High,52W Low,52W %Chg,Time
ARWR,Arrowhead Pharma,718.02,16.8,0.35,2.13%,17.1,1.48,991.50%,13:28 ET
TNDM,Tandem Diabetes Care,598.11,26.27,-0.73,-2.70%,27.89,2.14,327.29%,13:27 ET
IIN,Intricon Corp,456.25,47.45,1.7,3.71%,48.05,6.9,518.30%,13:13 ET
EGAN,Egain Corp,442.28,13.2,-0.73,-5.24%,19.05,1.55,633.33%,13:24 ET
HLG,Hailiang Edu Grp Ads,386.16,80.77,-0.98,-1.20%,88.92,8.55,774.16%,13:09 ET
MRTX,Mirati Therapeutics,366.05,50.95,-0.5,-0.97%,54.64,4.45,1030.31%,13:19 ET
TRHC,Tabula Rasa Healthcare Inc,358.85,66.26,0.83,1.27%,70.15,12.63,353.20%,13:16 ET
CDNA,Caredx Inc,346.43,12.42,-0.13,-1.04%,16,1.14,835.07%,13:18 ET
GDS,Gds Holdings Ltd,334.53,44.48,0.93,2.14%,46.18,8.5,347.63%,13:27 ET
CRC,California Resources Corporatio,330.78,39.46,-0.64,-1.60%,48.85,6.47,418.16%,13:27 ET
WWE,World Wrestling Entertainment,330.69,80.43,-0.099999999999994,-0.12%,81.18,20.56,285.30%,13:27 ET
I,Intelsat S.A.,326.89,18.9,-1.28,-6.34%,21.48,2.44,530.77%,13:27 ET
BLFS,Biolife Solutions,324.58,19.78,-0.63,-3.09%,22.86,2.95,467.34%,13:27 ET
ENPH,Enphase Energy Inc,322.81,6.69,0.06,0.90%,7.6,0.76,740.00%,13:27 ET
VNCE,Vince Holding Corp,311.43,20.05,-0.61,-2.95%,21.08,3.2,279.43%,13:26 ET
RFIL,RF Industries Ltd,292.25,8.993,0.65,7.78%,9.03,1.75,397.12%,13:13 ET
RGNX,Regenxbio Inc,287.67,79,0.2,0.25%,85.1,17.6,317.99%,13:21 ET
XENE,Xenon Pharmace Cm Sh,270.57,10.25,0.2,1.98%,11,2.1,194.96%,13:00 ET
WTI,W&T Offshore,267.3,8.09,-0.050000000000001,-0.61%,8.92,1.83,312.76%,13:28 ET
MED,Medifast Inc,257.42,166.73,-1.71,-1.02%,179.52,40.83,307.16%,13:07 ET
HEAR,Turtle Beach Corp,250.39,25.5,0.11,0.43%,25.74,1.64,697.88%,13:19 ET
MDGL,Madrigal Pharmaceuticals Inc,248.3,287.05,-0.42000000000002,-0.15%,325.98,15.19,1793.47%,12:55 ET
ENTA,Enanta Pharmaceutica,243.53,126.52,2.81,2.27%,127.77,35.91,251.43%,13:16 ET
LGCY,Legacy Reserves LP,242.72,5.48,-0.2,-3.52%,10.54,1.07,340.32%,13:23 ET
VRS,Verso Corp,242.38,20.97,-0.24,-1.13%,22.69,3.82,328.37%,13:23 ET
TTGT,Techtarget Inc,238.5,31.43,0.02,0.06%,32.42,9.11,218.78%,13:13 ET
CGC,Canopy Growth Corp,236.74,26.93,0.47,1.78%,36.55,6.49,315.98%,13:23 ET
NWY,New York & Company,231.26,5.15,0.03,0.59%,5.34,1.4,261.27%,13:25 ET
LONE,Lonestar Resources US Inc,230.31,10.37,0.41,4.12%,10.49,2.43,187.09%,13:25 ET
AXGN,Axogen Inc,228,54.6,-0.3,-0.55%,56,14.3,226.95%,13:28 ET
MRNS,Marinus Pharma CS,226.01,7.98,0.08,1.01%,9.87,1.44,451.03%,13:24 ET
CERS,Cerus Corp,222.62,7.335,-0.075,-1.01%,7.55,2.1,224.56%,13:26 ET
GFN,General Finance Corp,221.94,13.8,0.3,2.22%,14.15,4.55,189.58%,13:16 ET
FMI,Foundation Medicine,220.56,136.85,0,unch,137.2,31.7,264.38%,13:15 ET
BOOM,Dynamic Materials,220.45,48.538,1,2.11%,48.65,12.55,274.52%,13:09 ET
SSTI,Shotspotter Inc,217.99,41.86,-0.44,-1.05%,43.81,9.33,216.74%,13:12 ET
BOOT,Boot Barn Holdings Inc,212.98,24,0.26,1.10%,26.25,6.1,259.34%,13:24 ET
VKTX,Viking Thera,212.82,10.05,0.1,1.01%,13.43,0.88,799.10%,13:26 ET
EGY,Vaalco Energy Inc,211.99,3.0279,-0.07,-2.27%,3.38,0.68,235.13%,13:12 ET
RCKT,Rocket Pharmaceuticals Inc.,211.39,19.59,-0.47,-2.35%,24.28,3.56,379.29%,13:12 ET
STAA,Staar Surgical Co,211.05,33.6,-0.25,-0.74%,34.7,9.88,223.56%,13:11 ET
CLUB,Town Sports Internat,210.33,13.9,-0.15,-1.07%,14.85,4.28,212.92%,13:16 ET
CRSP,Crispr Therapeutics Ag,209.89,60.24,-1.77,-2.85%,73.9,16.15,257.24%,13:26 ET
ARQL,Arqule Inc,207.08,5.13,-0.06,-1.16%,7.21,0.94,302.36%,13:16 ET
ABMD,Abiomed Inc,206.35,431.94,4.57,1.07%,450.93,141.56,199.21%,13:15 ET
LGCYP,Legacy Resrvs Sr A,205.87,14.25,-0.68,-4.55%,19.25,3.69,204.26%,12:22 ET
CYRXW,Cryoport Inc Wts,199.23,11.27,-0.54,-4.57%,16.31,1.9,424.19%,11:15 ET
ETSY,Etsy Inc,198.1,44.39,0.14,0.32%,45.88,13.58,197.65%,13:26 ET
QNST,Quinstreet Inc,198.01,14.06,-0.039999999999999,-0.28%,15.05,3.36,254.41%,13:23 ET
ATV,Acorn International,195.74,21.58,0.62,2.96%,38.86,9.33,118.00%,13:07 ET
FANH,Fanhua Inc,195.58,31.51,0.059999999999999,0.19%,38.24,8.21,258.07%,13:11 ET
CSBR,Champions Oncolog,195.33,8.15,0.85,11.64%,7.97,2.19,207.81%,13:25 ET
NDLS,Noodles & Co Cla,194.04,11.9,-0.2,-1.65%,13.3,3.5,183.33%,13:21 ET
SRPT,Sarepta Therapeutics,191.56,134.95,-2.35,-1.71%,176.5,32.8,298.58%,13:23 ET
ECYT,Endocyte Inc,189.92,16.43,-0.5,-2.95%,17.7,1.17,1073.05%,13:28 ET
CBIO,Catalyst Bio,186.32,12,-0.14,-1.15%,37,3.11,164.94%,13:28 ET
CDXS,Codexis Inc,185.96,15.55,-0.15,-0.96%,16.8,4.8,180.18%,13:14 ET
GOOS,Canada Goose Holdings Inc Subordinate Voting Sh,185.47,64.45,0.85,1.34%,68.75,16.96,236.28%,13:25 ET
IMMU,Immunomedics Inc,184.73,25.34,-0.059999999999999,-0.24%,27.33,7.17,176.81%,13:27 ET
FNKO,Funko Inc Class A,183.56,16.31,0.71,4.55%,18.46,5.81,131.54%,13:22 ET
DNR,Denbury Resources,182.86,4.395,-0.145,-3.19%,5.56,0.92,201.72%,13:27 ET
ABUS,Arbutus Biopharma Cp,178.28,11.3,-0.049999999999999,-0.44%,12.05,3.2,200.00%,13:20 ET
SKY,Skyline Corp,176.13,29.09,-2.59,-8.18%,35.65,5.49,397.69%,13:27 ET
TGA,Transglobe Energy Cp,175.83,3.57,0.04,1.13%,4.13,1.07,164.71%,13:28 ET
RIBT,Ricebran Technologie,174.7,2.62,-0.06,-2.26%,3.09,0.95,167.35%,13:07 ET
INS,Intelligent Systems Corp,174.02,10.1806,0.22,2.25%,10.19,3.5,176.65%,13:01 ET
PFIE,Profire Energy,173.93,3.36,-0.01,-0.30%,5.3,1.19,150.75%,13:26 ET
NTRA,Natera Inc,172,22.41,-0.31,-1.36%,23.85,7.78,101.53%,13:26 ET
CERC,Cerecor Inc,171.95,4.35,-0.03,-0.68%,5.74,0.52,417.86%,12:53 ET
CVRR,Cvr Refining LP,171.2,23.65,0.2,0.85%,26,6.7,162.15%,13:21 ET
TRXC,Transenterix Inc,169.93,4.815,0.025,0.52%,6.04,0.6,558.23%,13:28 ET
NIHD,NII Holdings,168.26,4.04,-0.13,-3.12%,4.75,0.22,615.61%,13:20 ET
SHSP,Sharpspring Inc,168.01,11.25,-0.35,-3.02%,12.5,3.07,166.82%,13:11 ET
AAXN,Axon Inc,167.72,71.35,0.70999999999999,1.01%,71,20.57,181.01%,13:26 ET
NSP,Insperity Inc,167.58,98.5,-0.40000000000001,-0.40%,101.9,35.47,174.27%,13:15 ET
SQ,Square,165.94,68.33,-0.010000000000005,-0.01%,69.4,24.22,157.48%,13:28 ET
VKTXW,Viking Theraptcs Wts,164.47,8.6623,-0.43,-4.73%,12.72,0.33,1989.60%,13:09 ET
VTL,Vital Therapies Inc,164.35,7.95,-0.05,-0.62%,8.81,2.42,207.69%,13:28 ET
NGVC,Natural Grocers By Vitamin Cottage Inc,162.8,15.25,-0.050000000000001,-0.33%,17.46,4.79,91.07%,13:22 ET
NEWA,Newater Technology Inc Ordinary Shares,157.39,19.96,-0.49,-2.39%,28.2,7.32,123.52%,12:56 ET
ARGX,Argenx Se Ads,157.01,91.55,-1.88,-2.01%,103,19.42,340.99%,13:02 ET
ENVA,Enova International Inc,155.91,37.5,-0.25,-0.66%,38.9,11.15,131.38%,13:27 ET
LFVN,Lifevantage Cp,154.48,10.32,0.32,3.20%,10.57,2.86,159.86%,13:26 ET
USAT,USA Technologies Inc,152.72,14.8417,-0.15,-1.00%,15.03,4.75,196.38%,13:10 ET
MTBC,Medical Transc Bl,152.29,4.7,0.25,5.62%,5.44,1.08,276.69%,13:14 ET
NTIC,Northern Tech Inc,151.2,39.505,0.059999999999995,0.15%,41.9,15.75,134.03%,12:26 ET
NOG,Northern Oil and Gas,151.11,3.365,0.125,3.86%,3.73,0.63,204.55%,13:21 ET
LGCYO,Legacy Resrvs Sr B,150.52,13.69,-0.67,-4.67%,19.24,3.68,182.85%,13:02 ET
RCM,R1 Rcm Inc,150.18,8.68,-0.11,-1.25%,9.4,3.05,143.96%,13:24 ET
HFC,Hollyfrontier Corp,150.08,71.36,0.79000000000001,1.12%,83.28,26.99,162.88%,13:27 ET
CVNA,Carvana Co. Class A,148.8,46.715,0.815,1.78%,49.87,12.17,117.42%,13:24 ET
VICR,Vicor Cp,148.52,50.7,-0.5,-0.98%,52.05,16.3,162.95%,13:12 ET
WLL,Whiting Petroleum Corp,147.8,49.8,0.34999999999999,0.71%,56.47,15.88,143.08%,13:27 ET
IRMD,Iradimed Cp,147.1,21.6637,-0.33,-1.50%,23.58,8.3,154.12%,13:12 ET
LOXO,Loxo Oncology CS,147.05,177.68,-0.080000000000013,-0.05%,208.95,69,143.59%,13:11 ET
ASND,Ascendis Pharma Ads,146.2,71.55,1.05,1.49%,76.29,26.3,155.48%,13:09 ET
NEWR,New Relic Inc,145.98,111.12,-0.060000000000002,-0.05%,111.87,42.69,129.91%,13:19 ET
OKTA,Okta Inc Class A,144.98,56.36,0.53,0.95%,61,21.52,137.89%,13:27 ET
TST,Thestreet Inc,144.65,2.4399,0.03,1.26%,2.44,0.75,180.46%,13:11 ET
CTAS,,,,,,,,,
PM,,,,,,,,,
VFC,,,,,,,,,
HON,,,,,,,,,
SWK,,,,,,,,,
DOV,,,,,,,,,
STI,,,,,,,,,
ADS,,,,,,,,,
NUE,,,,,,,,,
KSU,,,,,,,,,
